,player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
0,A Ashish Reddy,280,31,196,18.0,270.0,400.0,28,10.0,142.86,15.82,8.89,22.22,15.0,8.0,0.0
1,A Badoni,161,18,139,2.0,12.0,12.0,11,14.64,115.83,12.95,6.0,6.0,6.0,8.0,0.0
2,A Chandila,4,0,7,11.0,234.0,245.0,12,0.33,57.14,0.0,6.28,22.27,21.27,2.0,0.0
3,A Chopra,53,7,75,0.0,0.0,0.0,6,8.83,70.67,9.33,0.0,0.0,0.0,2.0,0.0
4,A Choudhary,25,2,20,5.0,108.0,144.0,5,5.0,125.0,10.0,8.0,28.8,21.6,0.0,0.0
5,A Dananjaya,4,0,5,0.0,25.0,47.0,1,4.0,80.0,0.0,11.28,470000.0,250000.0,0.0,0.0
6,A Flintoff,62,7,57,2.0,66.0,106.0,3,20.67,108.77,12.28,9.64,53.0,33.0,3.0,0.0
7,A Kumble,35,3,49,45.0,983.0,1089.0,42,0.83,71.43,6.12,6.65,24.2,21.84,9.0,0.0
8,A Manohar,108,17,79,0.0,0.0,0.0,7,15.43,136.71,21.52,0.0,0.0,0.0,4.0,0.0
9,A Mishra,362,34,410,166.0,3317.0,4022.0,154,2.35,88.29,8.29,7.28,24.23,19.98,18.0,0.0
10,A Mithun,34,5,26,7.0,312.0,477.0,16,2.12,130.77,19.23,9.17,68.14,44.57,7.0,0.0
11,A Mukund,19,1,23,0.0,0.0,0.0,2,9.5,82.61,4.35,0.0,0.0,0.0,3.0,0.0
12,A Nehra,41,4,63,106.0,1974.0,2537.0,88,0.47,65.08,6.35,7.71,23.93,18.62,17.0,0.0
13,A Nortje,8,0,13,43.0,706.0,946.0,30,0.27,61.54,0.0,8.04,22.0,16.42,7.0,0.0
14,A Singh,2,0,10,28.0,486.0,639.0,23,0.09,20.0,0.0,7.89,22.82,17.36,1.0,0.0
15,A Symonds,974,115,781,20.0,540.0,694.0,36,27.06,124.71,14.72,7.71,34.7,27.0,20.0,0.0
16,A Tomar,4,1,8,0.0,0.0,0.0,1,4.0,50.0,12.5,0.0,0.0,0.0,0.0,0.0
17,A Uniyal,4,0,7,2.0,38.0,67.0,2,2.0,57.14,0.0,10.58,33.5,19.0,0.0,0.0
18,A Zampa,5,1,8,21.0,292.0,373.0,14,0.36,62.5,12.5,7.66,17.76,13.9,1.0,0.0
19,AA Bilakhia,69,5,88,0.0,0.0,0.0,7,9.86,78.41,5.68,0.0,0.0,0.0,1.0,0.0
20,AA Chavan,12,2,11,8.0,255.0,339.0,13,0.92,109.09,18.18,7.98,42.37,31.87,3.0,0.0
21,AA Jhunjhunwala,217,24,218,1.0,88.0,130.0,18,12.06,99.54,11.01,8.86,129.99,87.99,10.0,0.0
22,AA Noffke,9,1,12,1.0,25.0,41.0,1,9.0,75.0,8.33,9.84,41.0,25.0,0.0,0.0
23,AB Agarkar,179,18,160,29.0,820.0,1174.0,42,4.26,111.87,11.25,8.59,40.48,28.28,4.0,0.0
24,AB Barath,42,6,43,0.0,0.0,0.0,3,14.0,97.67,13.95,0.0,0.0,0.0,0.0,0.0
25,AB Dinda,26,2,50,69.0,1589.0,2103.0,76,0.34,52.0,4.0,7.94,30.48,23.03,7.0,0.0
26,AB McDonald,123,13,103,11.0,188.0,263.0,10,12.3,119.42,12.62,8.39,23.91,17.09,0.0,0.0
27,AB de Villiers,5181,667,3487,0.0,0.0,0.0,170,30.48,148.58,19.13,0.0,0.0,0.0,120.0,8.0
28,AC Blizzard,120,23,91,0.0,0.0,0.0,7,17.14,131.87,25.27,0.0,0.0,0.0,4.0,0.0
29,AC Gilchrist,2069,331,1555,1.0,1.0,0.0,80,25.86,133.05,21.29,0.0,0.0,1.0,51.0,16.0
30,AC Thomas,20,2,19,14.0,327.0,416.0,15,1.33,105.26,10.53,7.63,29.71,23.36,3.0,0.0
31,AC Voges,181,18,143,0.0,56.0,76.0,8,22.62,126.57,12.59,8.14,760000.0,560000.0,1.0,0.0
32,AD Hales,148,19,119,0.0,0.0,0.0,6,24.67,124.37,15.97,0.0,0.0,0.0,2.0,0.0
33,AD Mascarenhas,79,6,79,19.0,310.0,365.0,13,6.08,100.0,7.59,7.06,19.21,16.32,2.0,0.0
34,AD Mathews,724,73,599,27.0,807.0,1095.0,46,15.74,120.87,12.19,8.14,40.56,29.89,19.0,0.0
35,AD Nath,90,9,99,0.0,0.0,0.0,10,9.0,90.91,9.09,0.0,0.0,0.0,2.0,0.0
36,AD Russell,2039,313,1212,89.0,1484.0,2214.0,95,21.46,168.23,25.83,8.95,24.88,16.67,23.0,0.0
37,AF Milne,23,1,31,7.0,217.0,339.0,10,2.3,74.19,3.23,9.37,48.43,31.0,7.0,0.0
38,AG Murtaza,10,1,14,9.0,269.0,322.0,12,0.83,71.43,7.14,7.18,35.78,29.89,3.0,0.0
39,AG Paunikar,49,9,61,0.0,0.0,0.0,5,9.8,80.33,14.75,0.0,0.0,0.0,1.0,0.0
40,AJ Finch,2092,292,1696,1.0,44.0,67.0,90,23.24,123.35,17.22,9.14,66.99,44.0,29.0,0.0
41,AJ Turner,3,0,11,0.0,0.0,0.0,4,0.75,27.27,0.0,0.0,0.0,0.0,0.0,0.0
42,AJ Tye,91,11,79,42.0,714.0,1005.0,30,3.03,115.19,13.92,8.45,23.93,17.0,7.0,0.0
43,AK Markram,527,60,400,1.0,61.0,87.0,19,27.74,131.75,15.0,8.56,86.99,60.99,9.0,0.0
44,AL Menaria,401,42,367,3.0,113.0,144.0,25,16.04,109.26,11.44,7.65,48.0,37.67,4.0,0.0
