,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
0,Mohammad Hafeez,4.0,8,1,14,2.0,24.0,DEC,Eden Gardens,20 April 2008
1,Ishant Sharma,4.0,9,2,14,2.25,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008
2,Brett Lee,4.0,9,1,17,2.25,24.0,MI,IS Bindra Stadium,25 April 2008
3,Shaun Pollock,4.0,9,1,17,2.25,24.0,CSK,Wankhede Stadium,14 May 2008
4,Dominic Thornely,3.0,7,2,12,2.33,9.0,KKR,Wankhede Stadium,16 May 2008
5,Sourav Ganguly,3.0,7,1,10,2.33,18.0,RCB,Eden Gardens,08 May 2008
6,Sohail Tanvir,4.0,10,3,18,2.5,8.0,RCB,Sawai Mansingh Stadium,17 May 2008
7,Irfan Pathan,4.0,10,1,17,2.5,24.0,RR,IS Bindra Stadium,28 May 2008
8,Siddharth Trivedi,3.0,8,1,10,2.66,18.0,DEC,Sawai Mansingh Stadium,09 May 2008
9,Manpreet Gony,4.0,11,2,13,2.75,12.0,RCB,Chidambaram,21 May 2008
10,MF Maharoof,4.0,11,2,10,2.75,12.0,RR,Arun Jaitley Stadium,19 April 2008
11,Shaun Pollock,4.0,12,3,17,3.0,8.0,KKR,Wankhede Stadium,16 May 2008
12,Chaminda Vaas,3.0,9,2,11,3.0,9.0,KKR,Eden Gardens,20 April 2008
13,Ishant Sharma,3.0,9,1,12,3.0,18.0,DEC,Eden Gardens,20 April 2008
14,Ashok Dinda,4.0,12,1,15,3.0,24.0,MI,Eden Gardens,29 April 2008
15,Yusuf Pathan,3.0,9,0,10,3.0,0.0,MI,Sawai Mansingh Stadium,26 May 2008
16,Muttiah Muralitharan,4.0,12,0,14,3.0,0.0,KKR,Chidambaram,26 April 2008
17,Glenn McGrath,4.0,12,0,16,3.0,0.0,RR,Sawai Mansingh Stadium,11 May 2008
18,Shane Watson,2.0,6,0,7,3.0,0.0,RCB,Sawai Mansingh Stadium,17 May 2008
19,MF Maharoof,4.0,13,2,11,3.25,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008
20,Shane Watson,3.0,10,3,12,3.33,6.0,DC,Wankhede Stadium,30 May 2008
21,Sohail Tanvir,4.0,14,6,16,3.5,4.0,CSK,Sawai Mansingh Stadium,04 May 2008
22,Sohail Tanvir,4.0,14,4,15,3.5,6.0,MI,Sawai Mansingh Stadium,26 May 2008
23,Sanath Jayasuriya,4.0,14,3,14,3.5,8.0,KKR,Eden Gardens,29 April 2008
24,Anil Kumble,4.0,14,3,13,3.5,8.0,CSK,Chidambaram,21 May 2008
25,Manpreet Gony,4.0,14,2,16,3.5,12.0,PBKS,Wankhede Stadium,31 May 2008
26,Ashok Dinda,2.0,7,1,7,3.5,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008
27,Dale Steyn,4.0,14,1,17,3.5,24.0,MI,M. Chinnaswamy Stadium,28 May 2008
28,Shoaib Akhtar,3.0,11,4,12,3.66,4.5,DC,Eden Gardens,13 May 2008
29,Glenn McGrath,4.0,15,2,16,3.75,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008
30,RP Singh,4.0,15,2,14,3.75,12.0,MI,DY Patil Stadium,27 April 2008
31,Vikram Singh,4.0,15,1,10,3.75,24.0,RCB,IS Bindra Stadium,12 May 2008
32,Jacques Kallis,4.0,15,0,13,3.75,0.0,CSK,Chidambaram,21 May 2008
33,Irfan Pathan,3.2,13,1,14,3.9,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008
34,Shanthakumaran Sreesanth,4.0,16,2,17,4.0,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008
35,Munaf Patel,4.0,16,2,12,4.0,12.0,CSK,Sawai Mansingh Stadium,04 May 2008
