,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
0,Laxmi Ratan Shukla,0.5,6,3,1.66,DC,Eden Gardens,13 May 2008,
1,James Hopes,1.0,2,2,3.0,DC,Arun Jaitley Stadium,17 May 2008,
2,Sohail Tanvir,4.0,14,6,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,
3,Shoaib Akhtar,3.0,11,4,4.5,DC,Eden Gardens,13 May 2008,
4,Amit Mishra,4.0,17,5,4.8,DEC,Arun Jaitley Stadium,15 May 2008,
5,Lakshmipathy Balaji,4.0,24,5,4.8,PBKS,Chidambaram,10 May 2008,
6,Yo Mahesh,4.0,36,4,6.0,MI,Arun Jaitley Stadium,24 May 2008,
7,Sohail Tanvir,4.0,14,4,6.0,MI,Sawai Mansingh Stadium,26 May 2008,
8,Dilhara Fernando,4.0,18,4,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,
9,Umar Gul,4.0,23,4,6.0,PBKS,Eden Gardens,25 May 2008,
10,Makhaya Ntini,4.0,21,4,6.0,KKR,Eden Gardens,18 May 2008,
11,Glenn McGrath,4.0,29,4,6.0,RCB,Arun Jaitley Stadium,30 April 2008,
12,Albie Morkel,4.0,32,4,6.0,RCB,Chidambaram,21 May 2008,
13,Shane Watson,3.0,10,3,6.0,DC,Wankhede Stadium,30 May 2008,
14,Ashish Nehra,3.0,13,3,6.0,RR,DY Patil Stadium,07 May 2008,
15,Yuvraj Singh,2.0,12,2,6.0,MI,Wankhede Stadium,21 May 2008,
16,Ramesh Powar,2.0,22,2,6.0,DC,Arun Jaitley Stadium,17 May 2008,
17,Pragyan Ojha,2.0,19,2,6.0,DC,Arun Jaitley Stadium,15 May 2008,
18,Ajit Agarkar,2.0,19,2,6.0,DEC,Eden Gardens,20 April 2008,
19,Yusuf Pathan,2.0,20,2,6.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,
20,Dwayne Bravo,2.2,12,2,7.0,RR,DY Patil Stadium,07 May 2008,
21,Rohan Raje,2.2,16,2,7.0,KKR,Wankhede Stadium,16 May 2008,
22,Murali Kartik,3.4,17,3,7.33,DEC,Eden Gardens,20 April 2008,
23,Piyush Chawla,4.0,28,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,
24,Praveen Kumar,4.0,23,3,8.0,DEC,M. Chinnaswamy Stadium,03 May 2008,
25,Ajit Agarkar,4.0,25,3,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008,
26,Sohail Tanvir,4.0,26,3,8.0,KKR,Eden Gardens,20 May 2008,
27,Vinay Kumar,4.0,27,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,
28,Yo Mahesh,4.0,33,3,8.0,MI,DY Patil Stadium,04 May 2008,
29,Shahid Afridi,4.0,28,3,8.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,
30,Anil Kumble,4.0,14,3,8.0,CSK,Chidambaram,21 May 2008,
31,Munaf Patel,4.0,17,3,8.0,DC,Wankhede Stadium,30 May 2008,
32,Yusuf Pathan,4.0,22,3,8.0,CSK,DY Patil Stadium,01 June 2008,
33,Dwayne Bravo,4.0,24,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,
