,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
0,Sohail Tanvir,4.0,10,3,0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008
1,Dale Steyn,4.0,28,2,0,18,12.0,CSK,Chidambaram,21 May 2008
2,Brett Lee,4.0,9,1,0,17,24.0,MI,IS Bindra Stadium,25 April 2008
3,Shaun Pollock,4.0,9,1,1,17,24.0,CSK,Wankhede Stadium,14 May 2008
4,Irfan Pathan,4.0,10,1,0,17,24.0,RR,IS Bindra Stadium,28 May 2008
5,Shaun Pollock,4.0,12,3,0,17,8.0,KKR,Wankhede Stadium,16 May 2008
6,Dale Steyn,4.0,14,1,0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008
7,Shanthakumaran Sreesanth,4.0,16,2,0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008
8,Shane Watson,4.0,19,1,0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008
9,Vinay Kumar,4.0,27,3,0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
10,Glenn McGrath,4.0,12,0,0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008
11,Sohail Tanvir,4.0,14,6,0,16,4.0,CSK,Sawai Mansingh Stadium,04 May 2008
12,Manpreet Gony,4.0,14,2,1,16,12.0,PBKS,Wankhede Stadium,31 May 2008
13,Glenn McGrath,4.0,15,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008
14,Munaf Patel,4.0,17,3,0,16,8.0,DC,Wankhede Stadium,30 May 2008
15,Dilhara Fernando,4.0,18,4,0,16,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008
16,Mohammad Asif,4.0,19,2,0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
17,Glenn McGrath,4.0,21,1,1,16,24.0,RR,Arun Jaitley Stadium,19 April 2008
18,Ashok Dinda,4.0,12,1,0,15,24.0,MI,Eden Gardens,29 April 2008
19,Sohail Tanvir,4.0,14,4,0,15,6.0,MI,Sawai Mansingh Stadium,26 May 2008
20,Shaun Pollock,4.0,16,2,0,15,12.0,DC,DY Patil Stadium,04 May 2008
21,Piyush Chawla,4.0,16,2,0,15,12.0,MI,IS Bindra Stadium,25 April 2008
22,Irfan Pathan,4.0,18,2,0,15,12.0,KKR,IS Bindra Stadium,03 May 2008
23,Irfan Pathan,4.0,19,2,1,15,12.0,MI,IS Bindra Stadium,25 April 2008
24,Shane Watson,4.0,20,2,0,15,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008
25,Glenn McGrath,4.0,22,0,1,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
26,Ajit Agarkar,4.0,25,3,0,15,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008
27,Praveen Kumar,4.0,26,1,0,15,24.0,CSK,Chidambaram,21 May 2008
28,Mohammad Hafeez,4.0,8,1,0,14,24.0,DEC,Eden Gardens,20 April 2008
29,Ishant Sharma,4.0,9,2,0,14,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008
30,Muttiah Muralitharan,4.0,12,0,0,14,0.0,KKR,Chidambaram,26 April 2008
31,Sanath Jayasuriya,4.0,14,3,1,14,8.0,KKR,Eden Gardens,29 April 2008
32,RP Singh,4.0,15,2,1,14,12.0,MI,DY Patil Stadium,27 April 2008
33,Irfan Pathan,3.2,13,1,0,14,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008
34,Dale Steyn,4.0,16,0,0,14,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008
35,Manpreet Gony,4.0,18,1,1,14,24.0,MI,Chidambaram,23 April 2008
36,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,20 April 2008
37,Scott Styris,4.0,19,0,0,14,0.0,KKR,Eden Gardens,20 April 2008
38,Makhaya Ntini,4.0,21,4,0,14,6.0,KKR,Eden Gardens,18 May 2008
39,Munaf Patel,4.0,22,2,1,14,12.0,KKR,Eden Gardens,20 May 2008
40,Makhaya Ntini,4.0,23,2,0,14,12.0,PBKS,Wankhede Stadium,31 May 2008
41,Shane Warne,4.0,23,1,1,14,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008
42,Zaheer Khan,4.0,24,1,0,14,24.0,RR,M. Chinnaswamy Stadium,26 April 2008
43,Manpreet Gony,4.0,11,2,1,13,12.0,RCB,Chidambaram,21 May 2008
44,Anil Kumble,4.0,14,3,0,13,8.0,CSK,Chidambaram,21 May 2008
