,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,Shaun Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
1,Gautam Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
2,Sanath Jayasuriya,14,14,2,518,114*,43.16,309,167.63,1,2,58,31
3,Shane Watson,15,15,5,472,76*,47.2,311,151.76,0,4,47,19
4,Graeme Smith,11,11,2,441,91,49.0,362,121.82,0,3,54,8
5,Adam Gilchrist,14,14,1,436,109*,33.53,318,137.1,1,3,51,19
6,Yusuf Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
7,Suresh Raina,16,14,3,421,55*,38.27,296,142.22,0,3,35,18
8,MS Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,38,15
9,Virender Sehwag,14,14,2,406,94*,33.83,220,184.54,0,3,46,21
10,Rohit Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
11,Rahul Dravid,14,14,1,371,75*,28.53,298,124.49,0,2,35,11
12,Sourav Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
13,Shikhar Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,35,8
14,Robin Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,34,9
15,Kumar Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
16,David Hussey,13,13,2,319,71,29.0,259,123.16,0,2,19,17
17,Swapnil Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
18,Parthiv Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
19,Yuvraj Singh,15,14,1,299,57,23.0,184,162.5,0,1,24,19
20,Venugopal Rao,11,10,2,288,71*,36.0,210,137.14,0,2,22,15
21,Albie Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
22,Mark Boucher,10,10,3,225,50*,32.14,177,127.11,0,1,24,6
23,James Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8
24,Abhishek Nayar,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
25,Jacques Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4
26,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
27,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
28,Subramaniam Badrinath,16,11,5,192,64,32.0,130,147.69,0,2,21,8
29,Matthew Hayden,4,4,1,189,81,63.0,131,144.27,0,2,24,6
30,Brendon McCullum,4,4,1,188,158*,62.66,92,204.34,1,0,13,15
31,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
32,Mahela Jayawardena,13,12,5,179,45*,25.57,131,136.64,0,0,15,7
33,Dwayne Bravo,9,7,1,178,64*,29.66,134,132.83,0,1,19,5
34,Mohammad Kaif,16,14,3,176,34*,16.0,171,102.92,0,0,14,6
35,Michael Hussey,4,3,1,168,116*,84.0,100,168.0,1,0,12,11
36,Herschelle Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,17,8
37,Virat Kohli,13,12,1,165,38,15.0,157,105.09,0,0,18,4
38,Laxmi Ratan Shukla,13,12,4,163,42,20.37,122,133.6,0,0,17,5
39,Andrew Symonds,4,3,1,161,117*,80.5,105,153.33,1,0,15,9
40,Wriddhiman Saha,12,10,5,159,59*,31.8,119,133.61,0,1,12,7
41,VVS Laxman,6,6,1,155,52,31.0,132,117.42,0,1,22,1
42,Luke Pomersbach,5,5,4,152,79*,152.0,99,153.53,0,1,13,9
43,Ross Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
44,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
45,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3
46,Dinesh Karthik,13,8,2,145,56*,24.16,107,135.51,0,1,13,4
47,Ravindra Jadeja,14,9,2,135,36*,19.28,103,131.06,0,0,11,6
48,Irfan Pathan,14,10,4,131,40,21.83,116,112.93,0,0,9,6
49,Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,13,8
50,MF Maharoof,10,8,2,125,39,20.83,79,158.22,0,0,10,7
51,Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,10,6
52,Wasim Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3
53,Cameron White,8,8,1,114,31*,16.28,102,111.76,0,0,8,4
54,Scott Styris,8,8,2,112,36*,18.66,123,91.05,0,0,9,2
55,Praveen Kumar,13,12,2,112,34,11.2,98,114.28,0,0,10,6
56,Dwaraka Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0,10,5
57,Manoj Tiwary,9,7,3,104,39,26.0,85,122.35,0,0,16,0
58,Tillakaratne Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3
59,Debabrata Das,6,6,0,103,31,17.16,94,109.57,0,0,9,5
60,Niraj Patel,5,4,2,103,57,51.5,81,127.16,0,1,13,1
61,Simon Katich,2,2,1,96,75,96.0,69,139.13,0,1,11,2
62,AB de Villiers,6,6,1,95,26*,19.0,98,96.93,0,0,5,1
63,Piyush Chawla,15,7,3,90,24*,22.5,59,152.54,0,0,10,3
64,Shreevats Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1
65,Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
66,Karan Goel,7,6,0,76,26,12.66,78,97.43,0,0,7,4
67,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
