,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
0,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
1,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,23 April 2008
2,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,21 May 2008
3,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
4,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,24 May 2008
5,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,23 April 2008
6,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,19 April 2008
7,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,15 May 2008
8,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008
9,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,15 May 2008
10,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,24 May 2008
11,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,30 May 2008
12,Ishant Sharma,4.0,49,0,0.0,PBKS,Eden Gardens,25 May 2008
13,Siddharth Trivedi,4.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008
14,Jacques Kallis,4.0,48,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008
15,Pankaj Singh,3.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008
16,Anil Kumble,4.0,47,0,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008
17,Shane Warne,4.0,47,0,0.0,DC,Sawai Mansingh Stadium,11 May 2008
18,Rajat Bhatia,4.0,47,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008
19,Joginder Sharma,4.0,47,1,24.0,PBKS,IS Bindra Stadium,19 April 2008
20,Pragyan Ojha,4.0,47,1,24.0,RR,Sawai Mansingh Stadium,09 May 2008
21,Shane Warne,4.0,47,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
22,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008
23,Zaheer Khan,4.0,46,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008
24,Ajit Agarkar,4.0,46,1,24.0,RR,Sawai Mansingh Stadium,01 May 2008
25,Mohammad Asif,4.0,46,1,24.0,MI,DY Patil Stadium,04 May 2008
26,Andrew Symonds,2.5,46,0,0.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
27,Anil Kumble,4.0,45,0,0.0,MI,M. Chinnaswamy Stadium,28 May 2008
28,Ashish Nehra,4.0,45,1,24.0,RCB,Wankhede Stadium,20 April 2008
29,Lakshmipathy Balaji,3.0,45,0,0.0,RR,Chidambaram,24 May 2008
30,Joginder Sharma,3.0,45,0,0.0,DEC,Chidambaram,06 May 2008
31,RP Singh,4.0,44,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
32,Albie Morkel,3.0,44,0,0.0,MI,Wankhede Stadium,14 May 2008
33,Shanthakumaran Sreesanth,3.0,44,1,18.0,RR,IS Bindra Stadium,28 May 2008
